<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.11.01	04:00:00	170.497	170.856	170.418	170.663	42624	0	6
2022.11.01	08:00:00	170.662	170.948	169.922	170.092	49668	0	0
2022.11.01	12:00:00	170.089	170.291	169.658	170.270	49508	0	1
2022.11.01	16:00:00	170.270	170.485	169.476	170.244	56186	0	0
2022.11.01	20:00:00	170.243	170.338	170.013	170.300	15972	0	2
2022.11.02	00:00:00	170.257	170.317	169.319	169.516	41306	0	9
2022.11.02	04:00:00	169.515	169.987	169.444	169.805	45263	0	7
2022.11.02	08:00:00	169.805	169.808	168.956	169.186	46811	0	4
2022.11.02	12:00:00	169.185	169.421	168.810	168.997	46274	0	0
2022.11.02	16:00:00	168.997	169.050	168.467	168.670	36672	0	0
2022.11.02	20:00:00	168.665	169.016	168.202	168.324	59667	0	2
2022.11.03	00:00:00	168.296	168.564	167.870	168.189	32609	0	9
2022.11.03	04:00:00	168.188	168.216	167.955	168.165	35958	0	4
2022.11.03	08:00:00	168.167	168.216	166.690	166.803	54790	0	0
2022.11.03	12:00:00	166.801	167.168	165.303	165.377	56539	0	0
2022.11.03	16:00:00	165.377	166.039	165.070	165.728	51542	0	0
2022.11.03	20:00:00	165.730	165.738	165.202	165.405	24637	0	4
2022.11.04	00:00:00	165.377	165.912	165.139	165.839	34392	0	3
2022.11.04	04:00:00	165.841	166.266	165.748	165.832	39994	0	0
2022.11.04	08:00:00	165.838	166.133	165.403	165.804	51333	0	0
2022.11.04	12:00:00	165.802	166.092	165.126	165.844	61212	0	0
2022.11.04	16:00:00	165.845	166.604	165.794	166.577	64313	0	0
2022.11.04	20:00:00	166.576	166.968	166.511	166.806	27839	0	7
2022.11.07	00:00:00	166.246	166.704	165.907	166.598	34402	0	4
2022.11.07	04:00:00	166.598	166.902	166.566	166.804	38511	0	7
2022.11.07	08:00:00	166.802	168.250	166.571	167.844	59698	0	0
2022.11.07	12:00:00	167.844	168.257	167.619	167.831	48796	0	0
2022.11.07	16:00:00	167.830	168.767	167.548	168.756	47860	0	0
2022.11.07	20:00:00	168.756	169.090	168.673	168.741	26033	0	1
2022.11.08	00:00:00	168.797	169.078	168.621	168.911	28498	0	0
2022.11.08	04:00:00	168.911	168.992	168.512	168.562	31577	0	7
2022.11.08	08:00:00	168.565	168.641	167.657	168.020	54172	0	0
2022.11.08	12:00:00	168.025	168.085	167.299	167.523	43069	0	0
2022.11.08	16:00:00	167.523	168.654	167.302	168.492	43975	0	0
2022.11.08	20:00:00	168.492	168.493	167.740	168.132	27060	0	4
